,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
b_SM_TT_linear_17_1,-3.1543026673114714,0.0,93.9240775105231,-0.033583536308440916,0.9732092509854784
b_SM_TT_linear_17_10,-2.02861798641654,0.0,157.0013150380914,-0.012921025444432488,0.9896908001474107
b_SM_TT_linear_17_11,-2.1461932580412086,0.0,277.1902423940395,-0.007742672467489999,0.9938223029033348
b_SM_TT_linear_17_12,-2.18696895020903,0.0,448.3754939154966,-0.004877538982139819,0.9961083023822743
b_SM_TT_linear_17_13,-2.0422020779531658,0.0,326.24075601537714,-0.006259800592961193,0.9950054343719548
b_SM_TT_linear_17_14,-1.497343483941921,0.0,0.06969791750464083,-21.48333174864544,0.0
b_SM_TT_linear_17_15,-1.2777191406737953,0.0,376.4920511889303,-0.003393747986548097,0.9972921860761643
b_SM_TT_linear_17_16,-0.9211610633742454,0.0,252.338456424833,-0.003650498130270692,0.9970873303717243
b_SM_TT_linear_17_17,-0.48952249267636744,0.0,264.57215750741517,-0.0018502419048483875,0.9985237213926852
b_SM_TT_linear_17_18,0.0,1.0,111.34197493530642,0.0,1.0
b_SM_TT_linear_17_19,0.0,1.0,1.3877223888198937,0.0,1.0
b_SM_TT_linear_17_2,-2.8536591631303176,0.0,216.49069589631048,-0.013181440206082088,0.9894830369256666
b_SM_TT_linear_17_3,-2.780323937585561,0.0,401.3051603003444,-0.006928203802574364,0.9944721373747738
b_SM_TT_linear_17_4,-3.0147281736545075,0.0,0.16677559219844557,-18.076555051696626,0.0
b_SM_TT_linear_17_5,-2.260046386973955,0.0,0.0801534198971167,-28.196506024008766,0.0
b_SM_TT_linear_17_6,-1.8643887518710471,0.0,142.1000405944312,-0.013120254885726693,0.9895318515268203
b_SM_TT_linear_17_7,0.0,1.0,45.17865092397689,0.0,1.0
b_SM_TT_linear_17_8,-1.4741905610434372,0.0,63.43719258654574,-0.02323858451069121,0.9814599609208343
b_SM_TT_linear_17_9,-2.07777318210453,0.0,189.64205596475216,-0.010956289054842961,0.991258321012048
b_TRAIN_COST_constant_1_1,-0.5928901419633319,0.0,1.3663667476356482,-0.43391727952196213,0.6643485113672511
b_TRAIN_COST_constant_1_10,-2.836469686661209,0.0,7.026337294028384,-0.4036910794293774,0.6864399002145245
b_TRAIN_COST_constant_1_11,-3.48093166904001,0.0,7.066253010360384,-0.49261350590423875,0.6222857031696709
b_TRAIN_COST_constant_1_12,-3.728081971840142,0.0,7.0253951685282665,-0.5306579747344133,0.5956558131537166
b_TRAIN_COST_constant_1_2,-0.5072218566064705,0.0,1.787461402873297,-0.28376660653546126,0.7765892471035158
b_TRAIN_COST_constant_1_3,-1.0970345751286863,0.0,1.8590927802620398,-0.5900913535762636,0.5551294053083504
b_TRAIN_COST_constant_1_4,-1.1582685914065864,0.0,1.9838332970045183,-0.5838537911202064,0.5593186843740632
b_TRAIN_COST_constant_1_5,-1.78015994575385,0.0,6.858715125013672,-0.2595471474331428,0.7952131095573003
b_TRAIN_COST_constant_1_6,-2.007141265854155,0.0,6.980351289194992,-0.2875415838972236,0.7736976662613579
b_TRAIN_COST_constant_1_7,-2.352135363273249,0.0,7.035471710063681,-0.33432518247620935,0.738134189762859
b_TRAIN_COST_constant_1_8,-1.985943311778913,0.0,7.009361931863264,-0.28332726018201193,0.7769259824400532
b_TRAIN_COST_constant_1_9,-2.263436552177258,0.0,7.01766710068649,-0.3225340443914534,0.747048150887337
b_TRAIN_COST_linear_4_0,-3.962255114722827,0.0,1.0510599844354584e-12,-3769770682356.459,0.0
b_TRAIN_COST_linear_4_1,-2.8804609403684776,0.0,35.612701328429154,-0.08088296683265202,0.9355350260766266
b_TRAIN_COST_linear_4_10,-1.8926463399954827,0.0,129.12483268183104,-0.01465749306842505,0.9883054313297492
b_TRAIN_COST_linear_4_11,-2.0618036343990105,0.0,342.8152678423115,-0.006014328496440831,0.9952012890790569
b_TRAIN_COST_linear_4_12,-1.678085563549442,0.0,155.1397630153344,-0.010816605175447998,0.9913697660185865
b_TRAIN_COST_linear_4_13,-1.949201422377219,0.0,298.17469837627107,-0.006537112078897764,0.9947841763487266
b_TRAIN_COST_linear_4_14,-1.8566767541054083,0.0,277.4014187409679,-0.006693104752427878,0.9946597149262693
b_TRAIN_COST_linear_4_15,-1.6343061401233776,0.0,143.25259429049137,-0.011408562254790923,0.990897481773193
b_TRAIN_COST_linear_4_16,-1.4945424032707233,0.0,164.9287478050636,-0.009061745894276645,0.9927698718077904
b_TRAIN_COST_linear_4_17,-1.6009101007477908,0.0,289.71382205492483,-0.005525832662703561,0.995591045870635
b_TRAIN_COST_linear_4_18,-1.7227941722347422,0.0,341.8407770549736,-0.005039756190226798,0.9959788733678092
b_TRAIN_COST_linear_4_19,-1.839857205860304,0.0,440.04009193173204,-0.00418111267494631,0.9966639644696165
b_TRAIN_COST_linear_4_2,-3.2215977800355513,0.0,156.02761112471168,-0.02064761330903511,0.9835267586211245
b_TRAIN_COST_linear_4_20,-1.8712502673158475,0.0,0.0977584997487915,-19.141560806726478,0.0
b_TRAIN_COST_linear_4_21,-1.7945019154640016,0.0,267.47424544542804,-0.0067090643156151215,0.9946469813231067
b_TRAIN_COST_linear_4_22,-1.5618929275028157,0.0,243.44029863747508,-0.006415917727034774,0.9948808734228629
b_TRAIN_COST_linear_4_23,-1.5850489472031923,0.0,1897.9471153127924,-0.0008351386265796806,0.9993336558611796
b_TRAIN_COST_linear_4_24,-1.4608125978917335,0.0,189.13828286224606,-0.007723516232595166,0.9938375869103959
b_TRAIN_COST_linear_4_25,-1.4517184586842695,0.0,189.2471483763851,-0.007671018935498105,0.9938794724523945
b_TRAIN_COST_linear_4_26,-1.3993506654777403,0.0,747.8654416883167,-0.0018711262581122706,0.9985070581184992
b_TRAIN_COST_linear_4_27,-1.3665499488919397,0.0,0.08505162960016681,-16.067298831500104,0.0
b_TRAIN_COST_linear_4_28,-1.0309431122617854,0.0,160.25081194837168,-0.00643330975816788,0.9948669968761259
b_TRAIN_COST_linear_4_29,-1.1802621729902236,0.0,0.1338350303201884,-8.818783618657623,0.0
b_TRAIN_COST_linear_4_3,-3.4062553158148514,0.0,252.88747965089104,-0.01346945020970258,0.9892532585927016
b_TRAIN_COST_linear_4_30,-1.082887648594181,0.0,0.04877742646521418,-22.20059004889171,0.0
b_TRAIN_COST_linear_4_31,-0.9987808872910555,0.0,512.110812546784,-0.0019503218108674705,0.9984438693250353
b_TRAIN_COST_linear_4_32,-0.9068356800283079,0.0,491.60196724179787,-0.0018446542944411662,0.9985281796531527
b_TRAIN_COST_linear_4_33,-0.7164182582676234,0.0,582.3967798175609,-0.0012301205691625657,0.9990185060374714
b_TRAIN_COST_linear_4_34,-0.46617843412030197,0.0,522.1831441137105,-0.0008927489126665243,0.9992876895205285
b_TRAIN_COST_linear_4_35,0.0,1.0,287.6854719139567,0.0,1.0
b_TRAIN_COST_linear_4_36,0.0,1.0,0.9831361185056438,0.0,1.0
b_TRAIN_COST_linear_4_4,-2.967354482776174,0.0,460.89937130074077,-0.006438182969097499,0.9948631086968862
b_TRAIN_COST_linear_4_5,-2.8952784648145147,0.0,231.43214285252301,-0.01251026944282105,0.990018509522693
b_TRAIN_COST_linear_4_6,-2.601643901124141,0.0,227.59686702792317,-0.011430930201710347,0.9908796358973733
b_TRAIN_COST_linear_4_7,-2.424381684712517,0.0,232.21451113878052,-0.010440267805932296,0.9916700228340709
b_TRAIN_COST_linear_4_8,-2.44366506038697,0.0,183.00621447403088,-0.013352907536010112,0.9893462378306772
b_TRAIN_COST_linear_4_9,-2.1997338443199985,0.0,345.84403025467276,-0.006360479441267665,0.9949251058725963
b_TRAIN_HE_constant_2_1,-0.42122867202275033,0.0,0.11223254073937021,-3.753177725887363,0.000174606968246227
b_TRAIN_TT_constant_0_1,-0.8344037887135357,0.0,0.5001159674816634,-1.6684206123535315,0.09523225927056567
b_TRAIN_TT_constant_0_10,-3.3754524030889095,0.0,0.8235458147280338,-4.098681995249545,4.155094522451108e-05
b_TRAIN_TT_constant_0_11,-3.4629486680054096,0.0,0.3475023148907665,-9.965253523833212,0.0
b_TRAIN_TT_constant_0_12,-3.68780076139981,0.0,0.3187963451907155,-11.567889083526458,0.0
b_TRAIN_TT_constant_0_13,-4.042486833636251,0.0,0.568475995371045,-7.111095044563341,1.1513012765362873e-12
b_TRAIN_TT_constant_0_14,-4.217166976878481,0.0,0.32507118031032145,-12.973057078922416,0.0
b_TRAIN_TT_constant_0_15,-4.924770495420178,0.0,1.0810700661437955,-4.55545912300297,5.227128031970452e-06
b_TRAIN_TT_constant_0_16,-5.139298152655327,0.0,0.3599911587939349,-14.276178809150002,0.0
b_TRAIN_TT_constant_0_17,-5.501163217895718,0.0,0.4810325267289836,-11.436156418160687,0.0
b_TRAIN_TT_constant_0_18,-7.580246826123019,0.0,0.8379765376094727,-9.045893871620171,0.0
b_TRAIN_TT_constant_0_2,-1.0546329050215866,0.0,0.29321504262558146,-3.596789904016935,0.0003221684887728671
b_TRAIN_TT_constant_0_3,-1.5365986898045003,0.0,0.3173970646208873,-4.841250474826791,1.290246176344212e-06
b_TRAIN_TT_constant_0_4,-1.864603175039847,0.0,0.3163912380291355,-5.893346436060728,3.784518032290407e-09
b_TRAIN_TT_constant_0_5,-2.436858363269513,0.0,0.34448596660245706,-7.073897341315186,1.5063505998114124e-12
b_TRAIN_TT_constant_0_6,-2.686354442014927,0.0,0.3481335964450651,-7.716446988875518,1.199040866595169e-14
b_TRAIN_TT_constant_0_7,-2.820355670583684,0.0,0.4107004175231788,-6.867184814645363,6.548095399239173e-12
b_TRAIN_TT_constant_0_8,-3.212319781294953,0.0,0.36430709189874994,-8.817615283173618,0.0
b_TRAIN_TT_constant_0_9,-3.3868602294836614,0.0,1.0750510615842015,-3.150418013161872,0.0016303700894626516
